City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
191,bogorodskoye,25,RU,1571242351,87,52.37,25.07,2.56,140.44
192,mezhdurechensk,100,RU,1571242352,66,53.69,45.41,8.85,88.07
193,ortakoy,75,TR,1571242352,52,38.74,68.0,10.29,34.04
194,presidencia roque saenz pena,100,AR,1571242356,85,-26.79,56.57,4.57,-60.44
195,bayeux,40,BR,1571242356,51,-7.13,86.0,17.22,-34.94
196,sao joao da barra,20,BR,1571242356,58,-21.64,84.2,20.8,-41.05
197,nome,90,US,1571242357,88,30.04,75.2,8.05,-94.42
198,sur,0,OM,1571242357,64,22.57,80.69,6.6,59.53
199,verkh-chebula,100,RU,1571242361,80,56.03,46.31,15.36,87.61
200,constitucion,5,MX,1571242361,52,23.99,70.0,5.82,-104.67
201,torres,100,BR,1571242361,86,-29.34,67.19,24.14,-49.73
202,hirara,0,JP,1571242361,85,24.8,78.71,14.94,125.28
203,carnarvon,0,ZA,1571242362,5,-30.97,90.05,6.87,22.13
204,suez,0,EG,1571242363,38,29.97,85.01,16.51,32.54
205,naukot,97,PK,1571242363,20,26.04,92.75,4.34,69.12
206,salihorsk,0,BY,1571242364,67,52.79,59.09,9.76,27.54
207,geraldton,90,CA,1571242364,86,49.72,37.4,6.93,-86.95
208,acapulco,90,MX,1571242364,83,16.86,80.6,4.24,-99.88
209,okhotsk,8,RU,1571242365,57,59.36,19.67,19.06,143.24
210,visby,90,SE,1571242365,93,57.64,55.99,8.05,18.3
211,syracuse,90,US,1571242365,77,43.05,62.01,18.34,-76.15
212,paraiso,40,BR,1571242366,56,-0.03,93.2,9.17,-51.17
213,valleyview,11,CA,1571242366,89,55.07,33.35,4.8,-117.28
214,manokwari,44,ID,1571242367,81,-0.87,73.85,3.71,134.08
215,dicabisagan,48,PH,1571242367,89,17.08,76.01,10.13,122.42
216,parana,96,BR,1571242368,70,-7.52,86.0,2.24,-72.89
217,mar del plata,0,AR,1571242368,52,-46.43,55.85,15.3,-67.52
218,qazvin,0,IR,1571242368,65,36.28,62.6,7.08,50.01
219,port hawkesbury,20,CA,1571242369,76,45.62,59.0,6.93,-61.36
220,pangnirtung,90,CA,1571242369,64,66.15,33.8,6.27,-65.72
221,port-gentil,40,GA,1571242369,83,-0.72,82.4,6.93,8.78
222,kahului,1,US,1571242369,73,20.89,77.0,12.75,-156.47
223,udachnyy,90,RU,1571242370,93,66.42,37.4,8.95,112.4
224,red wing,90,US,1571242370,56,44.56,46.0,11.41,-92.53
225,milkovo,20,BG,1571242370,72,41.53,69.8,1.52,24.68
226,ahar,0,IR,1571242371,38,38.48,59.63,6.15,47.07
227,kushima,81,JP,1571242371,82,31.5,62.01,4.0,131.29
228,boyolangu,100,ID,1571242371,91,-8.09,71.87,5.23,111.9
229,hithadhoo,88,MV,1571242372,79,-0.6,81.77,12.18,73.08
230,montana,0,BG,1571242372,40,43.41,73.99,2.74,23.22
231,valle nacional,0,MX,1571242372,72,25.06,67.73,7.48,-104.49
232,oktyabrskiy,98,RU,1571242373,65,55.61,46.4,11.18,37.97
233,nanortalik,10,GL,1571242373,56,60.14,39.83,8.79,-45.24
234,likasi,100,CD,1571242373,58,-10.99,71.87,1.02,26.74
235,vila velha,20,BR,1571242374,52,-3.71,87.8,20.8,-38.6
236,vestmanna,100,FO,1571242374,93,62.16,50.0,20.8,-7.17
237,tautira,20,PF,1571242374,78,-17.73,75.2,11.48,-149.15
238,labytnangi,77,RU,1571242375,70,66.66,26.33,12.66,66.39
239,kalang,40,AU,1571242375,88,-30.51,68.0,14.99,152.69
240,mayo,90,CA,1571242375,79,63.59,24.8,8.05,-135.9
241,santa teresa,40,BR,1571242376,61,-19.94,82.4,17.22,-40.6
242,los llanos de aridane,75,ES,1571242376,60,28.66,75.2,4.7,-17.92
243,makat,100,KZ,1571242376,52,47.65,56.93,13.45,53.35
244,bull savanna,0,JM,1571242377,61,17.89,82.49,3.82,-77.59
245,port blair,100,IN,1571242377,78,11.67,84.29,9.4,92.75
246,darnah,31,LY,1571242378,74,32.77,73.85,11.94,22.64
247,pilar,75,AR,1571242378,87,-34.46,64.0,17.22,-58.91
248,kavaratti,70,IN,1571242378,72,10.57,83.93,5.43,72.64
249,general roca,90,AR,1571242379,66,-39.03,53.6,15.09,-67.58
250,ancud,75,CL,1571242379,71,-41.87,51.8,13.87,-73.83
251,airai,0,TL,1571242383,91,-8.93,61.97,1.76,125.41
252,avinurme,98,EE,1571242383,91,58.99,48.29,5.97,26.87
253,yakeshi,0,CN,1571242388,49,49.28,38.21,2.88,120.73
254,luanda,40,AO,1571242391,69,-8.83,82.4,12.75,13.24
255,sandane,75,NO,1571242402,87,61.77,53.01,4.7,6.22
256,madison,75,US,1571242403,61,43.07,48.99,10.29,-89.38
257,kayes,0,ML,1571242406,53,14.44,96.8,6.93,-11.44
258,ondangwa,20,NA,1571242407,13,-17.91,100.4,8.05,15.98
259,katherine,0,AU,1571242407,48,-14.47,84.2,9.17,132.26
260,chistogorskiy,100,RU,1571242408,61,53.98,46.67,4.3,87.38
261,rayadrug,76,IN,1571242408,88,14.7,73.13,10.64,76.87
262,altar,0,MX,1571242409,53,30.72,75.99,1.99,-111.84
263,norman wells,90,CA,1571242409,100,65.28,28.4,2.24,-126.83
264,kumukh,0,RU,1571242410,66,42.17,35.15,1.16,47.12
265,yaring,20,TH,1571242410,94,6.87,78.8,2.24,101.37
266,laguna,20,BZ,1571242410,55,16.17,91.4,1.16,-88.94
267,svetlogorsk,75,RU,1571242411,74,53.14,33.8,11.18,59.15
268,macklin,0,CA,1571242411,79,52.34,37.13,1.45,-109.94
269,tra vinh,55,VN,1571242412,80,9.93,80.51,7.33,106.35
270,banjar,39,ID,1571242412,89,-7.37,72.41,0.51,108.54
271,srednekolymsk,93,RU,1571242412,94,67.46,5.81,4.21,153.71
272,indi,99,IN,1571242412,80,17.17,76.91,9.18,75.96
273,kijang,33,KR,1571242413,82,35.24,55.4,5.82,129.21
274,zuwarah,21,LY,1571242413,64,32.93,77.63,12.33,12.08
275,yangjiang,20,CN,1571242416,87,21.85,71.51,1.57,111.96
276,beringovskiy,67,RU,1571242427,80,63.05,36.23,13.6,179.32
277,njombe,5,TZ,1571242427,77,-9.34,65.93,6.89,34.77
278,dzaoudzi,20,YT,1571242437,83,-12.79,80.6,8.05,45.27
279,ibra,0,OM,1571242437,13,22.69,90.05,10.01,58.55
280,san-pedro,18,CI,1571242438,85,4.75,79.07,11.63,-6.64
281,pineville,90,US,1571242441,77,31.32,64.0,6.93,-92.43
282,smoky lake,0,CA,1571242442,91,54.11,39.99,5.99,-112.47
283,beruwala,100,LK,1571242452,89,6.48,77.63,10.09,79.98
284,nago,5,IT,1571242473,55,45.88,69.01,4.7,10.89
285,henties bay,0,NA,1571242476,83,-22.12,64.0,7.0,14.28
286,ukiah,1,US,1571242476,75,39.15,57.0,1.64,-123.21
287,qaanaaq,100,GL,1571242478,87,77.48,14.63,6.15,-69.36
288,siavonga,0,ZW,1571242481,33,-16.54,89.69,3.64,28.71
289,abu dhabi,0,AE,1571242482,55,24.47,89.6,6.93,54.37
290,port hardy,90,CA,1571242482,87,50.7,51.8,24.16,-127.42
291,tura,99,RU,1571242482,94,64.27,35.15,7.64,100.22
292,yulara,0,AU,1571242482,26,-25.24,71.6,9.17,130.99
293,krasnovishersk,93,RU,1571242483,88,60.4,32.09,8.11,57.08
294,kalmunai,98,LK,1571242483,82,7.42,81.05,18.68,81.82
295,vestmannaeyjar,75,IS,1571242484,87,63.44,46.4,29.97,-20.27
296,anadyr,75,RU,1571242484,93,64.73,37.0,17.9,177.51
297,charlottesville,90,US,1571242484,87,38.03,54.0,5.82,-78.48
298,port moresby,0,PG,1571242485,88,-9.47,75.29,16.95,147.16
299,chokurdakh,0,RU,1571242485,95,70.62,7.43,6.19,147.9
300,pevek,0,RU,1571242502,80,69.7,29.93,8.22,170.27
301,gao,0,ML,1571242523,14,16.28,103.37,7.9,-0.04
302,ventersburg,0,ZA,1571242523,11,-28.08,88.79,6.49,27.14
303,lasa,20,CY,1571242524,61,34.92,80.6,3.36,32.53
304,tsogni,44,GA,1571242524,86,-2.79,78.89,14.55,10.1
305,longyearbyen,75,NO,1571242524,95,78.22,32.0,14.99,15.63
306,anderson,90,US,1571242525,93,34.51,69.01,5.82,-82.65
307,ambon,100,FR,1571242525,100,47.55,60.01,11.41,-2.56
308,kailua,40,US,1571242529,69,21.39,80.6,6.93,-157.74
309,plettenberg bay,38,ZA,1571242529,59,-34.05,66.47,2.8,23.37
310,roswell,1,US,1571242529,38,33.39,59.0,9.17,-104.52
311,grindavik,100,IS,1571242530,66,63.84,53.6,16.11,-22.43
312,hofn,75,IS,1571242530,70,64.25,44.6,28.86,-15.21
313,sartell,90,US,1571242530,80,45.62,45.0,5.82,-94.21
314,jacareacanga,75,BR,1571242531,83,-6.22,80.6,3.36,-57.76
315,kruisfontein,0,ZA,1571242531,38,-34.0,75.65,8.34,24.73
316,cuenca,90,EC,1571242534,67,-2.9,62.6,5.69,-79.0
317,camamu,94,BR,1571242535,64,-13.94,79.79,10.04,-39.11
318,mahebourg,75,MU,1571242535,88,-20.41,71.6,16.11,57.7
319,tual,85,ID,1571242535,82,-5.67,78.53,9.45,132.75
320,pundaguitan,51,PH,1571242536,77,6.37,82.49,9.19,126.17
321,aguas formosas,80,BR,1571242536,44,-17.08,83.57,6.81,-40.94
322,lingao,0,CN,1571242536,75,19.91,79.61,19.07,109.69
323,muros,75,ES,1571242537,100,42.77,64.99,18.34,-9.06
324,ponca city,1,US,1571242537,53,36.73,55.0,8.05,-97.07
325,mehamn,40,NO,1571242539,89,71.03,33.8,5.82,27.85
326,zlynka,23,RU,1571242539,52,52.43,66.2,11.18,31.74
327,saldanha,89,PT,1571242539,63,41.42,60.71,14.13,-6.55
328,saint-augustin,90,CA,1571242539,58,45.63,60.01,18.34,-73.98
329,porto walter,31,BR,1571242540,39,-8.27,95.63,0.85,-72.74
330,sobolevo,11,RU,1571242541,83,54.43,56.57,14.67,31.9
331,ghanzi,0,BW,1571242541,17,-21.7,91.13,18.76,21.65
332,bogovarovo,100,RU,1571242542,87,58.98,34.25,2.81,47.02
333,bahia blanca,95,AR,1571242542,52,-38.72,60.17,6.84,-62.27
334,klamath falls,1,US,1571242542,60,42.22,46.0,2.7,-121.78
335,bambous virieux,75,MU,1571242542,88,-20.34,71.6,16.11,57.76
336,porgera,95,PG,1571242543,97,-5.46,51.53,0.72,143.15
337,hobbs,1,US,1571242544,37,32.7,57.99,4.7,-103.14
338,wanning,0,AT,1571242544,51,48.64,63.0,1.12,13.53
339,college,40,US,1571242544,78,64.86,23.0,2.46,-147.8
340,selestat,0,FR,1571242545,48,48.27,66.2,6.93,7.45
341,lazaro cardenas,75,MX,1571242545,72,28.39,62.6,13.87,-105.62
342,usinsk,85,RU,1571242545,74,66.0,26.33,6.11,57.56
343,senneterre,90,CA,1571242546,100,48.39,41.0,9.17,-77.24
344,birmitrapur,29,IN,1571242546,83,22.4,72.95,3.61,84.77
345,cuiluan,0,CN,1571242546,66,47.72,30.83,3.64,128.65
346,margate,0,AU,1571242546,99,-43.03,41.0,3.0,147.26
347,belaya gora,0,RU,1571242547,92,68.54,9.41,6.53,146.19
348,bandarbeyla,67,SO,1571242547,80,9.49,81.77,14.22,50.81
349,cedar city,1,US,1571242547,20,37.68,52.0,4.97,-113.06
350,comodoro rivadavia,75,AR,1571242548,58,-45.87,53.6,11.41,-67.48
351,turtas,83,RU,1571242548,90,58.94,34.43,10.46,69.13
352,tefe,40,BR,1571242549,83,-3.35,80.6,2.47,-64.71
353,nichinan,81,JP,1571242549,82,31.65,62.01,4.0,131.31
354,lircay,40,PE,1571242550,37,-12.99,68.0,5.82,-74.72
355,tiznit,100,MA,1571242550,40,29.7,72.23,10.3,-9.73
356,cidreira,100,BR,1571242550,91,-30.17,65.75,24.05,-50.22
357,kuala terengganu,75,MY,1571242551,94,5.33,80.6,2.39,103.14
358,saint anthony,1,US,1571242551,60,43.97,53.6,3.36,-111.68
359,namatanai,100,PG,1571242551,80,-3.66,81.41,8.64,152.44
360,rundu,0,NA,1571242552,9,-17.91,95.0,12.75,19.77
361,lokosovo,100,RU,1571242552,97,61.13,37.67,5.34,74.84
362,ellensburg,90,US,1571242553,75,47.0,48.2,4.7,-120.55
363,talcahuano,40,CL,1571242554,58,-36.72,57.2,12.75,-73.12
364,atambua,32,ID,1571242554,80,-9.11,71.33,3.92,124.89
365,kamenka,4,MD,1571242555,65,48.03,59.0,7.18,28.7
366,hami,0,CN,1571242556,65,42.84,48.65,5.67,93.51
367,curup,89,ID,1571242556,81,-3.47,69.89,2.47,102.53
368,hibbing,90,US,1571242557,86,47.43,41.0,6.93,-92.94
369,shu,0,KZ,1571242557,41,43.6,58.19,3.35,73.76
370,sumenep,0,ID,1571242557,76,-7.02,80.87,15.35,113.87
371,alugan,27,PH,1571242558,83,12.22,81.05,10.08,125.48
372,shingu,96,JP,1571242558,85,33.72,69.35,18.13,135.99
373,wairoa,39,NZ,1571242558,97,-39.04,48.99,1.99,177.43
374,joensuu,90,FI,1571242559,100,62.6,36.0,8.05,29.76
